Activity Type,Date,Favorite,Title,Race,Distance,Calories,Time,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Bike Cadence,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Running,6/11/2016 7:57,FALSE,Berkeley Running,,11.7,957,2:05:13,172,195,10:42,7:04,622,743,0.87,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,5/28/2016 8:07,FALSE,Berkeley Running,,11.55,945,2:03:53,169,193,10:43,6:53,642,746,0.89,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,11/15/2014 7:09,FALSE,Untitled,,11.37,933,1:48:46,--,--,9:34,7:32,14,16,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,4/20/2019 9:12,FALSE,Pittsburgh Running,,11.33,881,2:08:09,161,202,11:19,6:27,562,557,0.88,0,0,--,0,0,0,0:00,0,0:00,No,03:44.5,12,0
Running,3/7/2015 8:33,FALSE,Alameda Running,,11.3,927,1:51:20,--,--,9:51,7:54,19,23,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,11/4/2017 8:00,FALSE,Alameda Running,,11.29,889,1:46:35,180,197,9:26,7:18,6,13,0.95,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,12/25/2013 8:37,FALSE,Untitled,,11.23,946,1:46:16,--,--,9:28,6:12,124,123,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,4/19/2014 7:56,FALSE,Untitled,,11.2,911,1:39:55,--,--,8:55,6:31,274,287,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,12/21/2013 8:36,FALSE,Untitled,,11.17,941,1:49:20,--,--,9:48,6:35,99,146,0,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,7/4/2015 9:49,FALSE,Alameda Running,,11.12,919,1:49:22,140,195,9:50,7:51,17,20,1.17,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
Running,4/16/2016 7:25,FALSE,Alameda Running,,11.1,909,1:48:08,180,193,9:45,7:27,15,15,0.92,0,0,--,0,0,0,0:00,0,0:00,No,00:00.0,--,0
